"BlackRock                                         ",0
"Boeing                                            ",0
"Chevron                                           ",0
"Citigroup                                         ",0
"Disney                                            ",0
"eBay                                              ",0
"FedEx                                             ",0
"General Mills                                     ",0
"Gilead Sciences                                   ",0
"J.P. Morgan Chase                                 ",0
"Land O'Lakes                                      ",0
"Lithia Motors                                     ",0
"Marathon Petroleum                                ",0
"Monsanto                                          ",0
"Navistar International                            ",0
"R.R. Donnelley & Sons                             ",0
"Reynolds American                                 ",0
"Stanley Black & Decker                            ",0
"Twenty-First Century Fox                          ",0
"United Continental Holdings                       ",0
"American Electric Power                           ",16.24
"DuPont                                            ",29.94
"Masco                                             ",29.96
"Kimberly-Clark                                    ",40.6
"Nucor                                             ",44.91
"Gap                                               ",56.84
"TJX                                               ",67.41
"Xerox                                             ",74.85
"Edison International                              ",78.68
"Yum Brands                                        ",81.2
"SpartanNash                                       ",86.78
"Jacobs Engineering Group                          ",89.32
"Humana                                            ",89.32
"Norfolk Southern                                  ",94.31
"Coca-Cola                                         ",96.17
"Ameriprise Financial                              ",101.75
"Molina Healthcare                                 ",104.86
"GameStop                                          ",105.56
"AutoNation                                        ",113.68
"American Family Insurance Group                   ",113.68
"Merck                                             ",119.76
"ADP                                               ",121.8
"Dollar General                                    ",121.8
"Massachusetts Mutual Life Insurance               ",129.92
"Colgate-Palmolive                                 ",134.73
"Bank of America Corp.                             ",138.04
"Philip Morris International                       ",142.31
"Viacom                                            ",149.8
"New York Life Insurance                           ",150.43
"DISH Network                                      ",151.69
"Best Buy                                          ",152.95
"Republic Services                                 ",154.28
"Time Warner                                       ",154.28
"Kroger                                            ",154.78
"Omnicom Group                                     ",157.36
"Arrow Electronics                                 ",159.18
"Comcast                                           ",161.07
"Kellogg                                           ",162.99
"Tyson Foods                                       ",187.85
"Kraft Heinz                                       ",194.18
"Cameron International                             ",196
"Hartford Financial Services Group                 ",196.06
"Amgen                                             ",198.59
"Pacific Life                                      ",199.19
"AECOM                                             ",199.6
"Charter Communications                            ",202.23
"Kinder Morgan                                     ",204.59
"Western Refining                                  ",211.12
"Johnson Controls                                  ",217.35
"Walgreens Boots Alliance                          ",219.68
"Alcoa                                             ",221.06
"Global Partners                                   ",224.7
"Jarden                                            ",225.47
"Anadarko Petroleum                                ",238.56
"Apple                                             ",239.68
"Intel                                             ",242.27
"Thermo Fisher Scientific                          ",256.71
"General Electric                                  ",259.7
"Univar                                            ",259.84
"Liberty Interactive                               ",269.64
"D.R. Horton                                       ",274.68
"Aflac                                             ",276.58
"Farmers Insurance Exchange                        ",277.13
"Honeywell International                           ",277.13
"FirstEnergy                                       ",284.62
"Entergy                                           ",284.62
"PayPal Holdings                                   ",293.43
"Altria Group                                      ",297.08
"HD Supply Holdings                                ",297.68
"American Express                                  ",299.6
"Cisco Systems                                     ",300.44
"Qualcomm                                          ",308.56
"Sysco                                             ",308.56
"Core-Mark Holding                                 ",309.58
"Phillips 66                                       ",312.83
"Southern                                          ",318.35
"Costco                                            ",320.39
"Whole Foods Market                                ",329.53
"Progressive                                       ",332.92
"DaVita HealthCare Partners                        ",339.32
"Unum Group                                        ",349.16
"Thrivent Financial for Lutherans                  ",349.16
"CST Brands                                        ",351.88
"Ecolab                                            ",352.03
"Southwest Airlines                                ",355.25
"AT&T                                              ",357.28
"Lowe's                                            ",359.03
"Cigna                                             ",359.52
"Tech Data                                         ",371.49
"Owens & Minor                                     ",372
"HollyFrontier                                     ",377.16
"General Dynamics                                  ",380.87
"Xcel Energy                                       ",381.85
"J.C. Penney                                       ",383.46
"Office Depot                                      ",389.48
"Laboratory Corp. of America                       ",389.61
"Capital One Financial                             ",394.59
"L-3 Communications                                ",396.97
"HP                                                ",397.52
"Principal Financial                               ",404.46
"Occidental Petroleum                              ",407.68
"Micron Technology                                 ",407.75
"Mondelez International                            ",426.79
"Health Net                                        ",428.82
"Goodyear Tire & Rubber                            ",436.38
"Northwestern Mutual                               ",438.48
"American Airlines Group                           ",448.28
"Abbott Laboratories                               ",449.1
"Guardian Life Ins. Co. of America                 ",468.22
"Union Pacific                                     ",468.37
"Crown Holdings                                    ",470
"Freddie Mac                                       ",479.36
"Franklin Resources                                ",489.02
"Baxter International                              ",498.64
"Texas Instruments                                 ",498.83
"Avnet                                             ",499
"United Natural Foods                              ",503.93
"Paccar                                            ",507.87
"Staples                                           ",509.43
"Exelon                                            ",510.93
"US Foods Holding                                  ",515.38
"Cardinal Health                                   ",519.68
"Genuine Parts                                     ",524.38
"EOG Resources                                     ",529
"Synnex                                            ",533.93
"Chesapeake Energy                                 ",537.56
"Lear                                              ",540.28
"Ingram Micro                                      ",548.9
"U.S. Bancorp                                      ",548.9
"Bristol-Myers Squibb                              ",548.95
"Performance Food Group                            ",549.43
"Anthem                                            ",552.53
"Textron                                           ",553.57
"IBM                                               ",553.98
"PPG Industries                                    ",554.54
"Huntsman                                          ",556.63
"State Farm Insurance Cos.                         ",557.44
"Cognizant Technology Solutions                    ",561.52
"Hilton Worldwide Holdings                         ",562.19
"Oneok                                             ",566.3
"Centene                                           ",566.3
"Community Health Systems                          ",581.37
"Sonic Automotive                                  ",586.25
"ManpowerGroup                                     ",586.46
"Caterpillar                                       ",586.46
"Praxair                                           ",588.7
"PNC Financial Services Group                      ",588.89
"Murphy USA                                        ",595.77
"Veritiv                                           ",598.8
"Eastman Chemical                                  ",601.75
"Valero Energy                                     ",619.43
"Alphabet                                          ",622.1
"Hertz Global Holdings                             ",627.48
"Ally Financial                                    ",628.33
"Computer Sciences                                 ",631.31
"Macy's                                            ",631.85
"Dollar Tree                                       ",635.34
"Wells Fargo                                       ",644.75
"Rite Aid                                          ",654.29
"Kohl's                                            ",656.4
"Oracle                                            ",658.62
"EMC                                               ",661.58
"WestRock                                          ",666.89
"Baker Hughes                                      ",671.32
"3M                                                ",673.78
"WellCare Health Plans                             ",678.91
"Corning                                           ",680.59
"Western Digital                                   ",684.35
"Procter & Gamble                                  ",689.57
"Time Warner Cable                                 ",699.58
"CenturyLink                                       ",700.72
"Applied Materials                                 ",710
"World Fuel Services                               ",711.23
"International Paper                               ",712.57
"VF                                                ",723.66
"AbbVie                                            ",726.36
"Illinois Tool Works                               ",727.63
"CHS                                               ",728.07
"PVH                                               ",728.82
"ConocoPhillips                                    ",733.74
"CSX                                               ",734.45
"Halliburton                                       ",738.67
"NextEra Energy                                    ",741.04
"Morgan Stanley                                    ",747.25
"Parker-Hannifin                                   ",747.6
"PBF Energy                                        ",748.5
"Aramark                                           ",749.4
"Walmart                                           ",752.57
"Pfizer                                            ",756.22
"Facebook                                          ",758.25
"Whirlpool                                         ",768.52
"Air Products & Chemicals                          ",770.06
"PepsiCo                                           ",771.14
"NGL Energy Partners                               ",780.78
"Travelers Cos.                                    ",785.13
"UnitedHealth Group                                ",793.57
"Liberty Mutual Insurance Group                    ",796.06
"Emerson Electric                                  ",799.68
"Microsoft                                         ",803.88
"Fannie Mae                                        ",815.84
"Home Depot                                        ",830.05
"Tenet Healthcare                                  ",834.25
"Eversource Energy                                 ",838.06
"Newmont Mining                                    ",844.12
"Devon Energy                                      ",849.36
"Plains GP Holdings                                ",853.49
"Delta Air Lines                                   ",859.64
"PG&E Corp.                                        ",868.01
"Voya Financial                                    ",878.57
"Level 3 Communications                            ",881.73
"Genworth Financial                                ",892.85
"AIG                                               ",902.3
"TIAA                                              ",908.02
"L Brands                                          ",921.71
"Ross Stores                                       ",936.74
"UPS                                               ",967.31
"Consolidated Edison                               ",977.44
"United States Steel                               ",991.68
"Fluor                                             ",1001.98
"Sherwin-Williams                                  ",1003.05
"Eli Lilly                                         ",1008.38
"Sears Holdings                                    ",1013.69
"Deere                                             ",1036.57
"National Oilwell Varco                            ",1037.65
"Peter Kiewit Sons'                                ",1038.5
"Tenneco                                           ",1054.55
"Bed Bath & Beyond                                 ",1069.64
"Prudential Financial                              ",1073.83
"MasterCard                                        ",1074.76
"Mosaic                                            ",1087.89
"Archer Daniels Midland                            ",1091.75
"Group 1 Automotive                                ",1103.82
"Las Vegas Sands                                   ",1113.29
"Leucadia National                                 ",1135.28
"Supervalu                                         ",1145.9
"Avis Budget Group                                 ",1146.68
"Fidelity National Financial                       ",1175.56
"DTE Energy                                        ",1192.03
"McKesson                                          ",1208.61
"Assurant                                          ",1235.81
"Dominion Resources                                ",1287.49
"Penske Automotive Group                           ",1357.28
"HCA Holdings                                      ",1374.38
"Reinsurance Group of America                      ",1390.97
"Becton Dickinson                                  ",1400.56
"CVS Health                                        ",1403.02
"Cummins                                           ",1417.16
"United Technologies                               ",1426.33
"Marsh & McLennan                                  ",1432.93
"Allstate                                          ",1447.96
"Verizon                                           ",1461.26
"CDW                                               ",1467.13
"SunTrust Banks                                    ",1469.56
"Hormel Foods                                      ",1470
"Public Service Enterprise Group                   ",1482.09
"Sempra Energy                                     ",1497
"Broadcom                                          ",1506.98
"Aetna                                             ",1511.97
"AutoZone                                          ",1514.61
"Biogen                                            ",1521.54
"State Street Corp.                                ",1526.44
"BB&T Corp.                                        ",1531.93
"Marriott International                            ",1533.36
"Target                                            ",1536.99
"McDonald's                                        ",1551.89
"Jabil Circuit                                     ",1556.93
"Celgene                                           ",1560.1
"Visa                                              ",1565.09
"MGM Resorts International                         ",1565.77
"PPL                                               ",1591.81
"First Data                                        ",1608.41
"Advance Auto Parts                                ",1614.41
"Raytheon                                          ",1624.43
"C.H. Robinson Worldwide                           ",1629.94
"O'Reilly Automotive                               ",1630.19
"NRG Energy                                        ",1631.32
"Nordstrom                                         ",1634.32
"USAA                                              ",1636.32
"Northrop Grumman                                  ",1636.85
"Duke Energy                                       ",1646.7
"Icahn Enterprises                                 ",1648.33
"Nationwide                                        ",1657.47
"Lincoln National                                  ",1665.6
"KKR                                               ",1669.28
"Tesoro                                            ",1671.21
"ConAgra Foods                                     ",1678.8
"Ford Motor                                        ",1679.28
"Dow Chemical                                      ",1682.49
"Express Scripts Holding                           ",1696.38
"News Corp.                                        ",1696.73
"Autoliv                                           ",1706.72
"Estee Lauder                                      ",1709.21
"Dean Foods                                        ",1711.36
"Reliance Steel & Aluminum                         ",1721.49
"CarMax                                            ",1730.53
"Discover Financial Services                       ",1734.8
"Energy Transfer Equity                            ",1744.2
"Johnson & Johnson                                 ",1744.22
"Precision Castparts                               ",1771.62
"BorgWarner                                        ",1776.21
"Toys 'R' Us                                       ",1777.29
"Amazon.com                                        ",1780.62
"Henry Schein                                      ",1810.4
"Freeport-McMoRan                                  ",1811.58
"Enterprise Products Partners                      ",1834.2
"Stryker                                           ",1854.57
"CBRE Group                                        ",1922.16
"W.W. Grainger                                     ",1932.85
"Danaher                                           ",1936.39
"Campbell Soup                                     ",1962.96
"Ball                                              ",1982.74
"Publix Super Markets                              ",1995.8
"AmerisourceBergen                                 ",2048.6
"Starbucks                                         ",2076.41
"Priceline Group                                   ",2129.24
"Bank of New York Mellon Corp.                     ",2155.98
"AES                                               ",2277.74
"INTL FCStone                                      ",2372.11
"Universal Health Services                         ",2425.14
"Lockheed Martin                                   ",2440.31
"MetLife                                           ",2525
"Loews                                             ",2566.22
"Lennar                                            ",2670.97
"Exxon Mobil                                       ",2734.59
"Mohawk Industries                                 ",3025.65
"Waste Management                                  ",3101.51
"General Motors                                    ",4393.44
"Berkshire Hathaway                                ",7474.32
"CBS                                               ",8648.07
