"Northeast                                         ","direct                                            ",1798
"Southeast                                         ","direct                                            ",1548
"West                                              ","direct                                            ",1254
"Midwest                                           ","direct                                            ",696
"Northeast                                         ","facebook                                          ",335
"Northeast                                         ","organic                                           ",317
"Northeast                                         ","adwords                                           ",300
"Southeast                                         ","facebook                                          ",278
"Southeast                                         ","organic                                           ",275
"Southeast                                         ","adwords                                           ",264
"West                                              ","organic                                           ",243
"West                                              ","adwords                                           ",241
"West                                              ","facebook                                          ",229
"Northeast                                         ","banner                                            ",155
"Northeast                                         ","twitter                                           ",154
"Southeast                                         ","banner                                            ",146
"Southeast                                         ","twitter                                           ",127
"Midwest                                           ","facebook                                          ",125
"West                                              ","twitter                                           ",122
"Midwest                                           ","organic                                           ",117
"West                                              ","banner                                            ",116
"Midwest                                           ","adwords                                           ",101
"Midwest                                           ","twitter                                           ",71
"Midwest                                           ","banner                                            ",59
