"Pacific Life                                      ",255319.18,Top
"Mosaic                                            ",172180.04,Middle
"CHS                                               ",163471.78,Middle
"Core-Mark Holding                                 ",148105.93,Middle
"Disney                                            ",129157.38,Middle
"National Oilwell Varco                            ",121873.16,Middle
"Sears Holdings                                    ",114003.21,Middle
"State Farm Insurance Cos.                         ",111810.55,Middle
"Fidelity National Financial                       ",110027.29,Middle
"BB&T Corp.                                        ",107300.05,Middle
"Arrow Electronics                                 ",105426.87,Middle
"United States Steel                               ",104452.39,Middle
"Walmart                                           ",102363.34,Middle
"Jarden                                            ",100993.44,Middle
"Target                                            ",99778.69,Low
"SunTrust Banks                                    ",99125.76,Low
"General Dynamics                                  ",98377.59,Low
"State Street Corp.                                ",96673.98,Low
"Pfizer                                            ",95339.33,Low
"Raytheon                                          ",94725.92,Low
"Goodyear Tire & Rubber                            ",90258.51,Low
"Kohl's                                            ",90105.16,Low
"D.R. Horton                                       ",89544.66,Low
"Franklin Resources                                ",86555.72,Low
"Allstate                                          ",85842.14,Low
"Bristol-Myers Squibb                              ",85495.29,Low
"Occidental Petroleum                              ",85440.98,Low
"IBM                                               ",85282.63,Low
"Leucadia National                                 ",84784.63,Low
"Western Digital                                   ",84481.77,Low
"Archer Daniels Midland                            ",84344.61,Low
"Wells Fargo                                       ",83886.2,Low
"Fluor                                             ",83287.31,Low
"Emerson Electric                                  ",82527.79,Low
"Amgen                                             ",82013.05,Low
"Synnex                                            ",81722.47,Low
"Caterpillar                                       ",81700.33,Low
"PG&E Corp.                                        ",81697.27,Low
"KKR                                               ",81222.69,Low
"Duke Energy                                       ",80494.19,Low
"Intel                                             ",79491.18,Low
"HollyFrontier                                     ",79488.37,Low
"Celgene                                           ",78164.23,Low
"DISH Network                                      ",78105.13,Low
"Lincoln National                                  ",77628.11,Low
"Supervalu                                         ",77271.55,Low
"Nationwide                                        ",76630.92,Low
"CDW                                               ",76392.22,Low
"Centene                                           ",76364.92,Low
"Jacobs Engineering Group                          ",75600.49,Low
"Broadcom                                          ",75130.5,Low
"Crown Holdings                                    ",75110.81,Low
"Public Service Enterprise Group                   ",73833.01,Low
"Sysco                                             ",73636.55,Low
"3M                                                ",70895.01,Low
"Thermo Fisher Scientific                          ",70615.95,Low
"Prudential Financial                              ",67868.76,Low
"Hormel Foods                                      ",67706.16,Low
"Avis Budget Group                                 ",67410.18,Low
"Freddie Mac                                       ",66821.09,Low
"Avnet                                             ",66812.24,Low
"Molina Healthcare                                 ",66381.57,Low
"AutoZone                                          ",65958.07,Low
"EOG Resources                                     ",65894.28,Low
