"Northeast                                         ","Walmart                                           ",$5.76
"Northeast                                         ","Walmart                                           ",$5.97
"Northeast                                         ","Walmart                                           ",$5.96
"Northeast                                         ","Walmart                                           ",$6.17
"Northeast                                         ","Walmart                                           ",$6.63
"Northeast                                         ","Walmart                                           ",$6.03
"Northeast                                         ","Walmart                                           ",$6.02
"Northeast                                         ","Walmart                                           ",$6.11
"Northeast                                         ","Walmart                                           ",$6.39
"Northeast                                         ","Apple                                             ",$5.12
"Northeast                                         ","Apple                                             ",$5.18
"Northeast                                         ","Apple                                             ",$5.06
"Northeast                                         ","Berkshire Hathaway                                ",$5.48
"Northeast                                         ","McKesson                                          ",$5.71
"Northeast                                         ","McKesson                                          ",$5.70
"Northeast                                         ","UnitedHealth Group                                ",$5.20
"Northeast                                         ","UnitedHealth Group                                ",$5.39
"Northeast                                         ","CVS Health                                        ",$5.54
"Northeast                                         ","CVS Health                                        ",$5.22
"Northeast                                         ","CVS Health                                        ",$5.33
"Northeast                                         ","General Motors                                    ",$5.15
"Northeast                                         ","Ford Motor                                        ",$5.60
"Northeast                                         ","Ford Motor                                        ",$5.22
"Northeast                                         ","Ford Motor                                        ",$5.32
"Northeast                                         ","Ford Motor                                        ",$5.41
"Northeast                                         ","Ford Motor                                        ",$5.72
"Northeast                                         ","Ford Motor                                        ",$5.51
"Northeast                                         ","Ford Motor                                        ",$5.26
"Northeast                                         ","Ford Motor                                        ",$5.39
"Northeast                                         ","Ford Motor                                        ",$5.38
"Northeast                                         ","Ford Motor                                        ",$5.27
"Northeast                                         ","Ford Motor                                        ",$6.28
"Northeast                                         ","Ford Motor                                        ",$5.40
"Northeast                                         ","Ford Motor                                        ",$5.57
"Northeast                                         ","Ford Motor                                        ",$5.20
"Northeast                                         ","Ford Motor                                        ",$5.72
"Northeast                                         ","Ford Motor                                        ",$5.33
"Northeast                                         ","Ford Motor                                        ",$5.51
"Northeast                                         ","Ford Motor                                        ",$5.47
"Northeast                                         ","Ford Motor                                        ",$5.91
"Northeast                                         ","Ford Motor                                        ",$5.32
"Northeast                                         ","AT&T                                              ",$5.34
"Northeast                                         ","AT&T                                              ",$5.61
"Northeast                                         ","AT&T                                              ",$5.44
"Northeast                                         ","AT&T                                              ",$5.34
"Northeast                                         ","AT&T                                              ",$6.27
"Northeast                                         ","AT&T                                              ",$5.42
"Northeast                                         ","AT&T                                              ",$5.20
"Northeast                                         ","AT&T                                              ",$5.17
"Northeast                                         ","AT&T                                              ",$5.59
"Northeast                                         ","AT&T                                              ",$5.17
"Northeast                                         ","AT&T                                              ",$5.45
"Northeast                                         ","AT&T                                              ",$5.96
"Northeast                                         ","AT&T                                              ",$5.42
"Northeast                                         ","AT&T                                              ",$5.28
"Northeast                                         ","AT&T                                              ",$5.20
"Northeast                                         ","AT&T                                              ",$5.78
"Northeast                                         ","AT&T                                              ",$5.24
"Northeast                                         ","AT&T                                              ",$5.24
"Northeast                                         ","General Electric                                  ",$6.66
"Northeast                                         ","General Electric                                  ",$5.50
"Northeast                                         ","General Electric                                  ",$5.31
"Northeast                                         ","General Electric                                  ",$5.60
"Northeast                                         ","General Electric                                  ",$5.53
"Northeast                                         ","General Electric                                  ",$5.22
"Northeast                                         ","AmerisourceBergen                                 ",$5.65
"Northeast                                         ","Verizon                                           ",$5.34
"Northeast                                         ","Verizon                                           ",$5.66
"Northeast                                         ","Verizon                                           ",$5.29
"Northeast                                         ","Verizon                                           ",$5.15
"Northeast                                         ","Verizon                                           ",$5.62
"Northeast                                         ","Verizon                                           ",$5.41
"Northeast                                         ","Verizon                                           ",$5.20
"Northeast                                         ","Verizon                                           ",$5.48
"Northeast                                         ","Verizon                                           ",$5.26
"Northeast                                         ","Verizon                                           ",$6.04
"Northeast                                         ","Verizon                                           ",$5.55
"Northeast                                         ","Verizon                                           ",$5.32
"Northeast                                         ","Chevron                                           ",$5.28
"Northeast                                         ","Chevron                                           ",$5.42
"Northeast                                         ","Chevron                                           ",$5.45
"Northeast                                         ","Costco                                            ",$5.50
"Northeast                                         ","Costco                                            ",$5.13
"Northeast                                         ","Costco                                            ",$7.79
"Northeast                                         ","Fannie Mae                                        ",$5.30
"Northeast                                         ","Kroger                                            ",$5.30
"Northeast                                         ","Kroger                                            ",$5.08
"Northeast                                         ","Kroger                                            ",$5.50
"Northeast                                         ","Kroger                                            ",$5.07
"Northeast                                         ","Kroger                                            ",$5.16
"Northeast                                         ","Kroger                                            ",$5.17
"Northeast                                         ","Kroger                                            ",$5.19
