id,account_id,occurred_at,standard_qty,gloss_qty,poster_qty,total,standard_amt_usd,gloss_amt_usd,poster_amt_usd,total_amt_usd
1,1001,10/6/2015 17:31,123,22,24,169,613.77,164.78,194.88,973.43
2,1001,11/5/2015 3:34,190,41,57,288,948.1,307.09,462.84,1718.03
3,1001,12/4/2015 4:21,85,47,0,132,424.15,352.03,0,776.18
4,1001,1/2/2016 1:18,144,32,0,176,718.56,239.68,0,958.24
5,1001,2/1/2016 19:27,108,29,28,165,538.92,217.21,227.36,983.49
6,1001,3/2/2016 15:29,103,24,46,173,513.97,179.76,373.52,1067.25
7,1001,4/1/2016 11:20,101,33,92,226,503.99,247.17,747.04,1498.2
8,1001,5/1/2016 15:55,95,47,151,293,474.05,352.03,1226.12,2052.2
9,1001,5/31/2016 21:22,91,16,22,129,454.09,119.84,178.64,752.57
10,1001,6/30/2016 12:32,94,46,8,148,469.06,344.54,64.96,878.56
11,1001,7/30/2016 3:26,101,36,0,137,503.99,269.64,0,773.63
12,1001,8/28/2016 7:13,124,33,39,196,618.76,247.17,316.68,1182.61
13,1001,9/26/2016 23:28,104,10,44,158,518.96,74.9,357.28,951.14
14,1001,10/26/2016 20:31,97,143,54,294,484.03,1071.07,438.48,1993.58
15,1001,11/25/2016 23:21,127,39,44,210,633.73,292.11,357.28,1283.12
16,1001,12/24/2016 5:53,123,127,19,269,613.77,951.23,154.28,1719.28
17,1011,12/21/2016 10:59,527,14,0,541,2629.73,104.86,0,2734.59
18,1021,10/12/2015 2:21,516,23,0,539,2574.84,172.27,0,2747.11
19,1021,11/11/2015 7:37,497,61,0,558,2480.03,456.89,0,2936.92
20,1021,12/11/2015 16:53,483,0,21,504,2410.17,0,170.52,2580.69
21,1021,1/10/2016 9:29,535,0,34,569,2669.65,0,276.08,2945.73
22,1021,2/9/2016 0:50,502,4,9,515,2504.98,29.96,73.08,2608.02
23,1021,3/10/2016 0:38,555,19,4,578,2769.45,142.31,32.48,2944.24
24,1031,12/25/2016 3:54,1148,0,215,1363,5728.52,0,1745.8,7474.32
25,1041,10/14/2016 23:54,298,28,69,395,1487.02,209.72,560.28,2257.02
26,1041,11/13/2016 10:11,307,22,0,329,1531.93,164.78,0,1696.71
27,1041,12/12/2016 7:50,157,34,21,212,783.43,254.66,170.52,1208.61
28,1051,8/2/2016 20:13,505,84,0,589,2519.95,629.16,0,3149.11
29,1051,9/1/2016 5:38,498,35,9,542,2485.02,262.15,73.08,2820.25
30,1051,10/1/2016 0:48,486,0,1,487,2425.14,0,8.12,2433.26
31,1051,10/31/2016 6:47,505,71,19,595,2519.95,531.79,154.28,3206.02
32,1051,11/30/2016 7:31,490,18,0,508,2445.1,134.82,0,2579.92
33,1051,12/30/2016 8:45,495,1,1,497,2470.05,7.49,8.12,2485.66
34,1061,10/19/2016 16:04,290,52,23,365,1447.1,389.48,186.76,2023.34
35,1061,11/17/2016 8:43,249,3,17,269,1242.51,22.47,138.04,1403.02
36,1061,12/16/2016 21:32,290,22,18,330,1447.1,164.78,146.16,1758.04
37,1071,12/13/2016 9:01,803,31,19,853,4006.97,232.19,154.28,4393.44
38,1081,2/12/2015 22:57,283,61,23,367,1412.17,456.89,186.76,2055.82
39,1081,3/13/2015 9:48,309,0,25,334,1541.91,0,203,1744.91
40,1081,4/12/2015 4:38,292,30,11,333,1457.08,224.7,89.32,1771.1
41,1081,5/12/2015 23:20,273,30,19,322,1362.27,224.7,154.28,1741.25
42,1081,6/11/2015 13:43,291,36,62,389,1452.09,269.64,503.44,2225.17
43,1081,7/11/2015 23:17,433,18,73,524,2160.67,134.82,592.76,2888.25
44,1081,8/9/2015 18:29,297,24,9,330,1482.03,179.76,73.08,1734.87
45,1081,9/7/2015 15:35,293,30,20,343,1462.07,224.7,162.4,1849.17
46,1081,11/6/2015 4:19,321,38,16,375,1601.79,284.62,129.92,2016.33
47,1081,12/5/2015 21:51,311,31,7,349,1551.89,232.19,56.84,1840.92
48,1081,1/3/2016 23:21,314,20,208,542,1566.86,149.8,1688.96,3405.62
49,1081,2/1/2016 20:00,298,26,25,349,1487.02,194.74,203,1884.76
50,1081,3/2/2016 6:07,270,40,31,341,1347.3,299.6,251.72,1898.62
51,1081,4/30/2016 7:46,501,26,15,542,2499.99,194.74,121.8,2816.53
52,1081,5/30/2016 4:02,273,74,29,376,1362.27,554.26,235.48,2152.01
53,1081,6/28/2016 6:18,328,25,21,374,1636.72,187.25,170.52,1994.49
54,1081,7/28/2016 22:48,302,54,19,375,1506.98,404.46,154.28,2065.72
55,1081,8/26/2016 16:47,272,25,30,327,1357.28,187.25,243.6,1788.13
56,1081,9/24/2016 9:47,319,45,101,465,1591.81,337.05,820.12,2748.98
57,1081,10/24/2016 21:46,303,28,0,331,1511.97,209.72,0,1721.69
58,1081,11/23/2016 4:38,334,25,20,379,1666.66,187.25,162.4,2016.31
59,1081,12/23/2016 13:19,293,29,0,322,1462.07,217.21,0,1679.28
60,1091,8/15/2014 5:38,150,0,19,169,748.5,0,154.28,902.78
61,1091,9/13/2014 5:11,150,28,16,194,748.5,209.72,129.92,1088.14
62,1091,10/13/2014 12:12,146,196,3,345,728.54,1468.04,24.36,2220.94
